,Rank(2017),Airports (Medium Hubs),IATACode,City Served,State,2018,2017,2016,2015[5],2014[1]
0,31,Dallas Love Field,DAL,Dallas,TX,8134848,7876769,7554596,7040921,4522341
1,32,Nashville International Airport,BNA,Nashville,TN,8007049,7015119,6338517,5708852,5396958
2,33,Austin-Bergstrom International Airport,AUS,Austin,TX,7921797,6973115,6095545,5797547,5219982
3,34,St. Louis Lambert International Airport,STL,St. Louis,MO,7822274,7372805,6793076,6239231,6108758
4,35,Norman Y. Mineta San José International Airport,SJC,San Jose,CA,7140616,6225148,5321603,4885690,4621003
5,36,William P. Hobby Airport,HOU,Houston,TX,6937061,6741870,6285181,5937944,5800726
6,37,Oakland International Airport,OAK,Oakland,CA,6798321,6530308,5934639,5506672,5069257
7,38,Louis Armstrong New Orleans International Airport,MSY,New Orleans,LA,6565482,6005527,5569705,5329696,4870569
8,39,Raleigh-Durham International Airport,RDU,Raleigh/Durham,NC,6416822,5851004,5401714,4954717,4673869
9,40,Sacramento International Airport,SMF,Sacramento,CA,6031630,5460526,4969366,4816440,4384616
10,41,Kansas City International Airport,MCI,Kansas City,MO,5935131,5744918,5391557,5135127,4982722
11,42,John Wayne Airport,SNA,Santa Ana,CA,5317149,5195047,5217242,4945175,4584147
12,43,San Antonio International Airport,SAT,San Antonio,TX,5028785,4521611,4179994,4091389,4046856
13,44,Cleveland Hopkins International Airport,CLE,Cleveland,OH,4836580,4562740,4205739,4083476,3686315
14,45,Southwest Florida International Airport,RSW,Fort Myers,FL,4719468,4461304,4277214,4159212,3942387
15,46,Indianapolis International Airport,IND,Indianapolis,IN,4695040,4376432,4216766,3889567,3605908
16,47,Pittsburgh International Airport,PIT,Pittsburgh,PA,,4327431,3986114,3890677,3827860
17,48,Luis Muñoz Marín International Airport,SJU,San Juan,PR,,4163587,4343354,4218785,4150828
18,49,Cincinnati/Northern Kentucky International Airport,CVG,Cincinnati/Covington,OH/KY,,3926158,3269979,3036697,2874684
19,50,John Glenn Columbus International Airport,CMH,Columbus,OH,4054572,3765007,3567864,3312496,3115501
20,51,Milwaukee Mitchell International Airport,MKE,Milwaukee,WI,3548817,3452544,3383271,3229876,3228607
21,52,Kahului Airport,OGG,Kahului,HI,,3442189,3352813,3220753,3019338
22,53,Bradley International Airport,BDL,Hartford,CT,3330734,3214976,2982194,2926047,2913380
23,54,Palm Beach International Airport,PBI,West Palm Beach,FL,3263042,3166532,3100624,3113485,2926242
24,55,Jacksonville International Airport,JAX,Jacksonville,FL,3118540,2759067,2799587,2716465,2589198
25,56,Birmingham Shuttlesworth International Airport,BHM,Birmingham,AL,2972776,2705014,2652233,2695520,2624662
26,57,Ted Stevens Anchorage International Airport,ANC,Anchorage,AK,,2556188,2563524,2525876,2381826
27,58,Albuquerque International Sunport,ABQ,Albuquerque,NM,,2483861,2341719,2323850,2354184
28,59,Hollywood Burbank Airport,BUR,Burbank,CA,,2365361,2104625,1972531,1931948
29,60,Buffalo Niagara International Airport,BUF,Buffalo,NY,,2348463,2313724,2331545,2378469
30,61,Eppley Airfield,OMA,Omaha,NE,,2303223,2127387,2046155,2020354
31,62,Ontario International Airport,ONT,Ontario,CA,,2247645,2127387,2089801,2037346
